ID_MARCA,NOMBRE_MARCA
ACH,ACHILLES
ADT,Advantage
ADV,Advance
AEO,Aeolus
AGC,AGCO
ALL,Alliance
AMM,Ammco
AMR,AMERICAN RACING
AMS,Amberstone
ANN,Annaite
AOT,American Omni Tires
ARM,ARMOUR
ARV,Arvin Meritor
BEA,BEAR
BEI,Beissbarth
BFG,BF Goodrich
BKT,BKT
BLK,BLACKSTONE
BNM,Benchmark
BOL,Bolex
BOS,Bosch
BOT,Boto
BRA,Branick
BRD,Border
BRI,Bridgestone
BRL,Brasil
BRO,Broadway
BTR,Beautrack
CAB,Cambridge
CAM,Campbell
CAP,Capitol
CAR,Carlisle
CAS,Castrol
CDI,Cendimex
CDW,Coldway
CFT,Comfast
CHA,Challenger
CHE,Chevron
CHF,CHIEF
CHY,Chao Yang
CNS,Constellation
CNT,Continental
COA,Coats
COO,Cooper
COP,Cooper Mexico
COR,Cordovan
DEN,Denman
DFL,Duo-Flex
DLP,Dunlop
DTL,Delta
DUR,Durun
DWH,Douglas Wheel
EDO,El Dorado
EKD,Euzkadi
EMA,Emagri
EPP,Epsilon Plus
EPS,EPSILON
ERK,Erkco
EXT,Extranjero
EXX,Exxon
FED,Federal Corporation
FIR,Firestone
FLK,Falken
FRN,Fronway
FRW,Freeeway
FUL,Fulda
FUZ,Fuzion
GBR,Grupo Bradi
GCR,Golden Crown
GDR,Goodride
GDY,Goodyear
GEO,Geomax
GKN,GKN
GLA,Gladiator
GLS,Goldshield
GLW,Goldway
GLX,Galaxy
GMX,GMX
GNR,General
GPX,Grand Prix
GRN,Grenlander
GRS,Grandstone
GTR,General Tire
HAK,Harvest King
HAV,Havoline
HEL,HELI
HFL,Hifly
HLO,Hilo
HLP,Hulpac
HNK,Hankook
HOF,HOFMANN
HTL,Hartland
HUN,Hunter
HYP,Hyperlub
HZR,HEZRON
INN,Innovator
INR,Ingersoll Rand
INT,Intercity
JGU,Jingu
JIN,JINYU
JMA,JINMA
KMH,Kumho
KMK,K-Mak
KUA,Kuani
KWR,KWIK-WAY
LAN,LANDE
LAR,LARAMIE
LAU,Launch
LLG,LINGLONG
LTN,Luton
M25,MONTACARGAS 2.5 TON
M30,MONTACARGAS 3 TON
MAX,Maxxis
MCC,MC Constantini
MIC,Michelin
MIR,Mirada
MMM,Multimarca 
MOB,Mobil
MON,MONTACARGAS
MRF,MRF
MTR,Multitrac
MUL,Multimile
MXK,Maxtrek
MXL,MEXLUB
NAC,
NAN,Nankang
NAV,NAVITRAC
NEU,Pneumatic
NEX,NEXEN
NMI,Nuevas MICHELIN
NOR,Nortech
NPI,Nuevas PIRELLI
NTR,NEUTRAL
PAC,Pacifica
PDQ,PDQ Manufacturing Inc.
PEG,Pegasus
PEK,Peak
PIR,Pirelli
PNE,Pneustone
POK,PowerKing
POW,Powerking
PRH,POWER RIDE
PRI,Primex
PRN,Pronar
PRO,Promociones Arvin
PTL,PETLAS
PTX,PURTEX
PUR,Purolator
QSH,QISHIDA
QST,Quaker State
RDS,Roadstone
RES,RESOURCE
RIK,Riken
ROC,Rockstone
RVL,Rovelo
SAI,Sailun
SAM,Samson
SHA,Shandong Jining
SIG,Sigma
SLI,SLIME
SMT,Sumitomo
SNA,Snap On
SON,Sonny
SPY,Specialty
SRS,Sunrise
STR,Sotera
SUN,Sunstone
SVR,Sovran
TAI,TAISHAN
TAL,Talon
TAR,Taray
TBM,TBC Mexico
TGR,Tigar
TLS,Telstar
TMR,TMR Holdings
TOR,TORNADO
TOY,Toyo
TRA,Tractores
TRI,Triangle
TRL,CIA. Hulera Tornel
TTN,Titan
TZN,Trazano
ULS,Ultra State
URR,Urrea
USA,Us Autoequip Mexico
VAL,VALVOLINE
VOR,VORTEX
VRZ,Verizon
VTR,Vitour
WCX,Wild Trail CTX
WSC,Wild Spirit HST-C
WYN,Wynstar
XIN,Shandong  Xingmin
YOK,Yokohama
YRT,Yartu
ZEE,Zeetek
ZIP,ZIPPO
ZML,Zomalli
